Singer,Song
taylor swift,anti hero
drake   21 savage,rich flex
sam smith   kim petras,unholy
steve lacy,bad habit
harry styles,as it was
drake   21 savage,major distribution
david guetta   bebe rexha,i m good  blue
rihanna,lift me up
drake   21 savage,spin bout u
drake   21 savage,on bs
nicki minaj,super freaky girl
the weeknd,die for you
morgan wallen,you proof
drake   21 savage,circo loco
drake   21 savage featuring travis scott,pussy   millions
post malone featuring doja cat,i like you  a happier song
chris brown,under the influence
doja cat,vegas
zach bryan,something in the orange
beyonce,cuff it
taylor swift,lavender haze
drake   21 savage,privileged rappers
morgan wallen,wasted on you
onerepublic,i ain t worried
mariah carey,all i want for christmas is you
drake,backoutsideboyz
drake featuring 21 savage,jimmy cooks
nicky youre   dazy,sunroof
glorilla   cardi b,tomorrow 2
future featuring drake   tems,wait for u
cole swindell,she had me at heads carolina
bad bunny,titi me pregunto
taylor swift,midnight rain
drake   21 savage,broke boys
taylor swift,bejeweled
luke combs,the kind of love we make
drake   21 savage,hours in silence
lizzo,about damn time
taylor swift,maroon
meghan trainor,made you look
brenda lee,rockin  around the christmas tree
jvke,golden hour
kane brown with katelyn brown,thank god
sia,unstoppable
taylor swift,karma
elton john   britney spears,hold me closer
lil uzi vert,just wanna rock
taylor swift,you re on your own  kid
taylor swift featuring lana del rey,snow on the beach
bobby helms,jingle bell rock
hardy featuring lainey wilson,wait in the truck
drake,jumbotron shit poppin
thomas rhett featuring riley green,half of me
bailey zimmerman,fall in love
sza,shirt
stephen sanchez,until i found you
bailey zimmerman,rock and a hard place
drake   21 savage,treacherous twins
quavo   takeoff,hotel lobby  unc and phew
jordan davis,what my world spins around
jax,victoria s secret
taylor swift,vigilante shit
jelly roll,son of a sinner
lil nas x,star walkin   league of legends worlds anthem
taylor swift,question
jackson dean,don t come lookin
drake,middle of the ocean
d4vd,romantic homicide
drake   21 savage,more m s
taylor swift,mastermind
armani white,billie eilish
joji,die for you
taylor swift,labyrinth
nate smith,whiskey on you
tems,free mind
lil baby,california breeze
taylor swift,sweet nothing
lil baby,heyy
grupo frontera,no se va
taylor swift,would ve  could ve  should ve
drake,i guess it s fuck me
rema   selena gomez,calm down
brent faiyaz,all mine
lil baby,freestyle
luke bryan,country on
lainey wilson,heart like a truck
oliver tree   robin schulz,miss you
ingrid andress with sam hunt,wishful drinking
harry styles,music for a sushi restaurant
gabby barrett,pick me up
rod wave,break my heart
manuel turizo,la bachata
lil baby featuring fridayy,forever
burna boy,last last
21 savage,3am on glenwood
taylor swift,the great war
diddy   bryson tiller,gotta move on
lewis capaldi,forget me
luke combs,going  going  gone
taylor swift,bigger than the whole sky
